ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
TUR,East,2105218,Age specific fertility rate: 25-29,217,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A25,11763030,I,450005,1450005,Region,East,0,,0,1,FEFRTRWA25,TRDHS1998450005,1998,DHS,,,,,1
TUR,West,2112867,Age specific fertility rate: 30-34,78,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A30,11763040,I,450001,1450001,Region,West,0,,0,1,FEFRTRWA30,TRDHS1998450001,1998,DHS,,,,,1
TUR,South,2112890,Age specific fertility rate: 30-34,88,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A30,11763040,I,450002,1450002,Region,South,0,,0,1,FEFRTRWA30,TRDHS1998450002,1998,DHS,,,,,1
TUR,Central,2112903,Age specific fertility rate: 30-34,81,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A30,11763040,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWA30,TRDHS1998450003,1998,DHS,,,,,1
TUR,North,2105232,Age specific fertility rate: 30-34,80,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A30,11763040,I,450004,1450004,Region,North,0,,0,1,FEFRTRWA30,TRDHS1998450004,1998,DHS,,,,,1
TUR,East,2105226,Age specific fertility rate: 30-34,170,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A30,11763040,I,450005,1450005,Region,East,0,,0,1,FEFRTRWA30,TRDHS1998450005,1998,DHS,,,,,1
TUR,West,2112868,Age specific fertility rate: 35-39,25,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A35,11763050,I,450001,1450001,Region,West,0,,0,1,FEFRTRWA35,TRDHS1998450001,1998,DHS,,,,,1
TUR,South,2112891,Age specific fertility rate: 35-39,54,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A35,11763050,I,450002,1450002,Region,South,0,,0,1,FEFRTRWA35,TRDHS1998450002,1998,DHS,,,,,1
TUR,Central,2112930,Age specific fertility rate: 35-39,21,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A35,11763050,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWA35,TRDHS1998450003,1998,DHS,,,,,1
TUR,North,2105233,Age specific fertility rate: 35-39,32,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A35,11763050,I,450004,1450004,Region,North,0,,0,1,FEFRTRWA35,TRDHS1998450004,1998,DHS,,,,,1
TUR,East,2105227,Age specific fertility rate: 35-39,115,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A35,11763050,I,450005,1450005,Region,East,0,,0,1,FEFRTRWA35,TRDHS1998450005,1998,DHS,,,,,1
TUR,West,2112912,Age specific fertility rate: 40-44,8,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A40,11763060,I,450001,1450001,Region,West,0,,0,1,FEFRTRWA40,TRDHS1998450001,1998,DHS,,,,,1
TUR,South,2112863,Age specific fertility rate: 40-44,16,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A40,11763060,I,450002,1450002,Region,South,0,,0,1,FEFRTRWA40,TRDHS1998450002,1998,DHS,,,,,1
TUR,Central,2112900,Age specific fertility rate: 40-44,6,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A40,11763060,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWA40,TRDHS1998450003,1998,DHS,,,,,1
TUR,North,2105210,Age specific fertility rate: 40-44,9,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A40,11763060,I,450004,1450004,Region,North,0,,0,1,FEFRTRWA40,TRDHS1998450004,1998,DHS,,,,,1
TUR,East,2105219,Age specific fertility rate: 40-44,45,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A40,11763060,I,450005,1450005,Region,East,0,,0,1,FEFRTRWA40,TRDHS1998450005,1998,DHS,,,,,1
TUR,West,2112916,Age specific fertility rate: 45-49,0,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A45,11763070,I,450001,1450001,Region,West,0,,0,1,FEFRTRWA45,TRDHS1998450001,1998,DHS,,,,,1
TUR,South,2112858,Age specific fertility rate: 45-49,0,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A45,11763070,I,450002,1450002,Region,South,0,,0,1,FEFRTRWA45,TRDHS1998450002,1998,DHS,,,,,1
TUR,Central,2112932,Age specific fertility rate: 45-49,0,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A45,11763070,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWA45,TRDHS1998450003,1998,DHS,,,,,1
TUR,North,2105200,Age specific fertility rate: 45-49,7,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A45,11763070,I,450004,1450004,Region,North,0,,0,1,FEFRTRWA45,TRDHS1998450004,1998,DHS,,,,,1
TUR,East,2105228,Age specific fertility rate: 45-49,0,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A45,11763070,I,450005,1450005,Region,East,0,,0,1,FEFRTRWA45,TRDHS1998450005,1998,DHS,,,,,1
TUR,West,2112913,Total fertility rate 15-49,2,1,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_TFR,11763080,I,450001,1450001,Region,West,0,,0,1,FEFRTRWTFR,TRDHS1998450001,1998,DHS,,,,,1
TUR,South,2112877,Total fertility rate 15-49,2.6,1,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_TFR,11763080,I,450002,1450002,Region,South,0,,0,1,FEFRTRWTFR,TRDHS1998450002,1998,DHS,,,,,1
TUR,Central,2112901,Total fertility rate 15-49,2.6,1,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_TFR,11763080,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWTFR,TRDHS1998450003,1998,DHS,,,,,1
TUR,North,2105211,Total fertility rate 15-49,2.7,1,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_TFR,11763080,I,450004,1450004,Region,North,0,,0,1,FEFRTRWTFR,TRDHS1998450004,1998,DHS,,,,,1
TUR,East,2105229,Total fertility rate 15-49,4.2,1,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_TFR,11763080,I,450005,1450005,Region,East,0,,0,1,FEFRTRWTFR,TRDHS1998450005,1998,DHS,,,,,1
TUR,West,2112917,Total fertility rate 15-44,2,1,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_TF4,11763090,I,450001,1450001,Region,West,0,,0,1,FEFRTRWTF4,TRDHS1998450001,1998,DHS,,,,,1
TUR,South,2112859,Total fertility rate 15-44,2.6,1,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_TF4,11763090,I,450002,1450002,Region,South,0,,0,1,FEFRTRWTF4,TRDHS1998450002,1998,DHS,,,,,1
TUR,Central,2112933,Total fertility rate 15-44,2.6,1,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_TF4,11763090,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWTF4,TRDHS1998450003,1998,DHS,,,,,1
TUR,North,2105201,Total fertility rate 15-44,2.6,1,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_TF4,11763090,I,450004,1450004,Region,North,0,,0,1,FEFRTRWTF4,TRDHS1998450004,1998,DHS,,,,,1
TUR,East,2105250,Total fertility rate 15-44,4.2,1,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_TF4,11763090,I,450005,1450005,Region,East,0,,0,1,FEFRTRWTF4,TRDHS1998450005,1998,DHS,,,,,1
